endereco_id,cliente_id,rua,cidade,estado,cep
1,1,7938 Elizabeth Terrace Suite 079,Port Kaitlynshire,Hawaii,09569
2,2,251 Kathy Mews,Juliemouth,Mississippi,74147
3,3,580 Rollins Square,New Richardburgh,Connecticut,20750
4,4,72177 Christopher Shoals,West Jennifer,Delaware,97138
5,5,436 Martin Road,Ballfort,Hawaii,63861
6,6,987 Margaret Summit Apt. 015,Russellland,Virginia,16563
7,7,7965 Eric Street Suite 362,South Wendyville,Wyoming,58015
8,8,563 Timothy Prairie Suite 320,Christopherland,Oregon,72117
9,9,0752 Chad Street,Yuland,Indiana,88562
10,10,1832 Thornton Villages,East Wayne,Montana,16353
11,11,3854 Fuentes Grove Apt. 522,Jerrybury,Alaska,13708
12,12,4260 Smith Ridge,Jessicastad,Colorado,98777
13,13,026 Leah Village,South Jade,North Dakota,88943
14,14,4308 Michelle Locks Suite 702,South Aaron,Massachusetts,29091
15,15,60277 William Ports Apt. 613,South Scott,Oregon,61608
16,16,3233 Patterson Oval Suite 255,Parrishshire,South Dakota,30388
17,17,815 Amber River,East Brian,Nebraska,55884
18,18,44263 Tyler Spur,Toddmouth,Tennessee,19348
19,19,232 Buck Throughway Suite 582,Garyshire,Virginia,86905
20,20,70845 Shannon Vista Apt. 609,New Tinastad,Montana,31046
21,21,338 Hill Flats Apt. 820,Hesterburgh,Washington,98209
22,22,9108 Bailey Points,North Patricia,Oregon,74807
23,23,447 Phillips Divide,Lake Louiston,Nebraska,86172
24,24,5110 Charles Crossing Suite 505,Port Chadport,North Carolina,11885
25,25,451 Cameron Union Apt. 922,South Elizabeth,North Dakota,53767
26,26,414 Bell Ports Suite 410,East Michael,Oregon,67063
27,27,61813 Eaton Mount Suite 729,Charlesburgh,Rhode Island,24040
28,28,02722 Gray Shore Apt. 385,Micheleview,South Dakota,54871
29,29,6144 Michael Manor,Amberton,Hawaii,85578
30,30,685 Julia Heights,Stacyview,Louisiana,00504
31,31,097 Susan Falls Apt. 504,Nicholsport,Mississippi,62482
32,32,73960 Rhonda Greens Apt. 985,Port Samantha,Georgia,88147
33,33,50406 Jonathan Via,East Matthewfurt,Connecticut,58017
34,34,1892 Sergio Cliffs Apt. 336,South Austinton,Oregon,77741
35,35,6500 Oconnor Mission Apt. 031,Madisonton,Florida,62526
36,36,00460 Williams Fields Suite 913,Stephenmouth,Kansas,30035
37,37,74594 Martinez Neck Suite 619,Newmanchester,Maryland,48338
38,38,51847 Campbell Hills Apt. 826,Gilbertborough,Arizona,51767
39,39,5692 Parker Keys,West Austinside,West Virginia,89768
40,40,9832 Shawn Locks,Hernandezview,Vermont,18059
41,41,4466 Lisa Fields,Greenfurt,Hawaii,53146
42,42,10049 Robin Brooks Suite 416,North Gregoryborough,Nevada,67872
43,43,56418 Mercer Meadows,East Danielleberg,Nebraska,72881
44,44,9106 Gonzalez Hollow Apt. 091,New Brianna,Kansas,66575
45,45,54812 Wilson Plain Apt. 179,Port Brittany,Colorado,95701
46,46,2324 Becker Lights Suite 404,Edwardfurt,Georgia,96855
47,47,325 John Village,Simmonstown,Utah,71137
48,48,5049 Tracy Ridges Suite 815,East Melissaberg,Florida,28716
49,49,181 Rebecca Mission Suite 786,Williamsmouth,Colorado,42010
50,50,7089 Moore Shore,East Steven,Ohio,31954
51,51,88766 White Mews Apt. 537,Yvettehaven,Oregon,02150
52,52,08926 Lee Well Apt. 096,Arellanoland,Maryland,26052
53,53,11546 Hughes Track,Lake Tiffany,Kentucky,32002
54,54,880 Fisher Divide Apt. 046,Lake Erica,Virginia,43070
55,55,2085 Alan Vista,Lake Samuel,Kansas,06601
